,OBSDATE,PORTNUM,RET,VWRETD,ALPHA,BETA,RSQR,ERRVAR,EXPRET,EXCRET,EXPMKT,EXCMKT,NEXTRF
10801,20100129,2,-0.054544,-0.037197,-0.001090397653231867,1.1566580984846269,0.8302763487060971,0.0006820188781000538,0.0015999666666666685,-0.0006910999999999991,0.0026362833333333333,0.0003452166666666662,2.8e-05
10802,20100129,3,-0.043821,-0.037197,-0.003024300646554087,1.1551701247161292,0.8450082902602625,0.0006103881405483486,-0.0003344499999999991,-0.0026255166666666655,0.0026362833333333333,0.0003452166666666662,2.8e-05
10803,20100129,4,-0.033527,-0.037197,-0.0009908518576929259,1.0813552581265724,0.7672723518832599,0.0008845083048927431,0.0016735166666666682,-0.0006175499999999977,0.0026362833333333333,0.0003452166666666662,2.8e-05
10804,20100129,5,-0.010101,-0.037197,-0.00027727382500832584,1.2883903587360352,0.7911295736278271,0.0010929265015254166,0.0024585666666666665,0.00016749999999999914,0.0026362833333333333,0.0003452166666666662,2.8e-05
10805,20100129,6,-0.031661,-0.037197,-0.000912504253254273,1.1738644906704199,0.8323339938673633,0.0006922293491493012,0.0017837999999999997,-0.0005072666666666672,0.0026362833333333333,0.0003452166666666662,2.8e-05
10806,20100129,7,-0.026869,-0.037197,0.0025072441702312085,1.1791314530066905,0.8441080241469685,0.0006403492007887204,0.005205366666666667,0.0029142999999999994,0.0026362833333333333,0.0003452166666666662,2.8e-05
10807,20100129,8,-0.012562,-0.037197,0.004318007487583263,1.1164269176364758,0.8216349611658962,0.0006747736434793798,0.006994483333333334,0.004703416666666666,0.0026362833333333333,0.0003452166666666662,2.8e-05
10808,20100129,9,-0.034072,-0.037197,7.035180661293938e-06,1.1064978110521104,0.7997145953106953,0.0007646841507384393,0.002680083333333334,0.00038901666666666654,0.0026362833333333333,0.0003452166666666662,2.8e-05
10809,20100129,10,-0.036441,-0.037197,0.0003282636523698904,1.382763523285214,0.8008573946532904,0.0011856909752191824,0.0030966833333333312,0.0008056166666666685,0.0026362833333333333,0.0003452166666666662,2.8e-05
10810,20100129,11,-0.036201,-0.037197,0.00044358922756411673,1.1674622867838103,0.8762295613645056,0.0004801218160593201,0.0031376833333333328,0.0008466166666666678,0.0026362833333333333,0.0003452166666666662,2.8e-05
10811,20100129,12,-0.033187,-0.037197,0.0026753450044930353,1.1434992386625793,0.8913468003174022,0.0003974973709138572,0.005361166666666668,0.0030701000000000005,0.0026362833333333333,0.0003452166666666662,2.8e-05
10812,20100129,13,-0.048521,-0.037197,0.0041191121379875175,1.0384430898831187,0.8848879427851888,0.0003498361057418508,0.0067686666666666685,0.004477600000000001,0.0026362833333333333,0.0003452166666666662,2.8e-05
10813,20100129,14,-0.033865,-0.037197,0.0015570461270509495,1.122108452514997,0.882447026612321,0.00041829370875114824,0.004235483333333332,0.0019444166666666674,0.0026362833333333333,0.0003452166666666662,2.8e-05
10814,20100129,15,-0.0273,-0.037197,0.004511630931729504,1.20422652905083,0.7630718438308279,0.0011228825094546338,0.007218416666666666,0.004927349999999999,0.0026362833333333333,0.0003452166666666662,2.8e-05
10815,20100129,16,-0.035242,-0.037197,0.002501167825733675,1.0353367670535265,0.9113358905471898,0.00026007544294836957,0.0051496499999999995,0.0028585833333333336,0.0026362833333333333,0.0003452166666666662,2.8e-05
10816,20100129,17,-0.039299,-0.037197,0.0019474207552654813,1.1043670489099209,0.9324769060899512,0.00022024589334907477,0.004619733333333333,0.0023286666666666677,0.0026362833333333333,0.0003452166666666662,2.8e-05
10817,20100129,18,-0.055826,-0.037197,-0.002165422444514426,1.1535917863595582,0.9011867032715318,0.000363891251594272,0.0005238833333333326,-0.001767183333333333,0.0026362833333333333,0.0003452166666666662,2.8e-05
10818,20100129,19,-0.015295,-0.037197,0.0009727894731614809,1.1825245792647718,0.9313230242031778,0.0002571567133419213,0.003672083333333333,0.0013810166666666675,0.0026362833333333333,0.0003452166666666662,2.8e-05
10819,20100129,20,-0.02049,-0.037197,-0.002883594733214983,1.2473173365953265,0.8068929466062706,0.0009285447222656894,-0.0001619333333333343,-0.002453000000000001,0.0026362833333333333,0.0003452166666666662,2.8e-05
10820,20100129,21,-0.042357,-0.037197,0.0002459766120665699,0.7983103981077506,0.9004984531754805,0.0001756131867133845,0.002812633333333332,0.0005215666666666666,0.0026362833333333333,0.0003452166666666662,2.8e-05
10821,20100129,22,-0.035587,-0.037197,-0.0002050460269463288,0.8463168839269931,0.9178730874054746,0.00015982163201689687,0.002378183333333332,8.711666666666694e-05,0.0026362833333333333,0.0003452166666666662,2.8e-05
10822,20100129,23,-0.005339,-0.037197,-0.0007366184469106771,0.9105444317404834,0.9124403584897327,0.00019841224204991632,0.001868783333333333,-0.00042228333333333296,0.0026362833333333333,0.0003452166666666662,2.8e-05
